label,woonplaats,addressId,straatnaam,huisletter,huisnummer,huisnummer_toevoeging,geo
Poortstraat 31 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076119,Poortstraat,,31,,POINT (5.1340071197452 52.096716011936)
Poortstraat 33 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076120,Poortstraat,,33,,POINT (5.134046123007 52.096763354851)
Poortstraat 37 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076125,Poortstraat,,37,,POINT (5.1342246363368 52.096976637928)
Meloenstraat 9 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076142,Meloenstraat,,9,,POINT (5.1054698404655 52.106390733093)
Van der Pekstraat 11 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076181,Van der Pekstraat,,11,,POINT (5.081129124653 52.115538690153)
Van der Pekstraat 17 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076187,Van der Pekstraat,,17,,POINT (5.0810639956404 52.115647375312)
Prof. Reinwardtlaan 12 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076199,Prof. Reinwardtlaan,,12,,POINT (5.1344762533025 52.109964791195)
Prof. Reinwardtlaan 16 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076202,Prof. Reinwardtlaan,,16,,POINT (5.1347856411414 52.110148243313)
Oudegracht 23 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076247,Oudegracht,,23,,POINT (5.1160678170061 52.095790806299)
Oudegracht 228 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076278,Oudegracht,,228,,POINT (5.1218291725257 52.08821089563)
Oudegracht 242 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076293,Oudegracht,,242,,POINT (5.1220017260791 52.087811566466)
Oudegracht 252 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076302,Oudegracht,,252,,POINT (5.1220696537703 52.0876156445)
Oudegracht 261 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076309,Oudegracht,,261,,POINT (5.1216346115527 52.086860170877)
Nachtegaalstraat 31 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076374,Nachtegaalstraat,,31,,POINT (5.1296760672397 52.092320245805)
Van der Mondestraat 96 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076514,Van der Mondestraat,,96,,POINT (5.1190306218202 52.104437166954)
Oudegracht 37 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076532,Oudegracht,,37,,POINT (5.1162843097027 52.095185679416)
Oudegracht 39 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076534,Oudegracht,,39,,POINT (5.1162893263959 52.095142853846)
Plompetorengracht 9 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076609,Plompetorengracht,,9,,POINT (5.1237883311545 52.095923478125)
Oudekamp 9 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076619,Oudekamp,,9,,POINT (5.1260230271963 52.08900265325)
